კოდი,შემოკლებული დასახელება
5703,ტაფტინგური ხალიჩები
5704,ქეჩის ხალიჩები
5705,გაწყობილი ან გაუწყობელი ხალიჩები
5801, ხავერდის ქსოვილები
5802,საპირსახოცე ქსოვილები
5803,გადაწნული ქსოვილები
5804,ტიული და ბადისებრი ქსოვილები
5805,ნახატებიანი ავეჯის ქსოვილები
5806,ვიწრო ქსოვილები
5807,"ეტიკეტები, ემბლემები და მსგავსი ნაწარმი"
5808,თასმა ნაჭრად
5809,ლითონური და მოლითონებული ქსოვილები
5810,ნაქარგები ნაჭრად ლენტებად ან ცალკე
5811,დალიანდაგებული ნაჭრები
5901,გაფისული ან გახამებული ქსოვილები
5902,პოლიმიადის ქსოვილები
5903,პოლიმერული ქსოვილები
5904,ლინიოლეუმი
5905,ტექსტილის კედლის საფარი
5906,დარეზინებული ტესქტილი
5907,მოხატული ტექსტილი
5908,ტექსტილის პატრუქები
5909,ტექსტილის მილაკები და შლანგები
5910,"ლენტები, ღვედები ან ბელტინგი"
5911,ტექსტილის მასალები
6001,ნაქსოვი ხაოიანი ტრიკოტაჟის ტილო
6002,სხვა ტრიკოტაჟის ტილო
6003,ტრიკოტაჟის ტილო სიგანით 30სმ-მდე
6004,ტრიკოტაჟის ტილო სიგანით 30სმ >
6005,ქსელნაქსოვი ტილოები
6006,ნაქსოვი ტრიკოტაჟის ტილოები
6101,კაცის ტრიკოტაჟის პალტოები 
6102,ქალის ტრიკოტაჟის პალტოები
6103,კაცის ნაქსოვი ტრიკოტაჟის კოსტუმები 
6104,ქალის ტრიკოტაჟის კოსტუმები 
6105,კაცის ტრიკოტაჟის პერანგები 
6106,ქალის ტრიკოტაჟის ბლუზები 
